probe_number,X,Y,Z,checkerboard_number
6,-202.94117647058826,-285.0,1000,15
16,-26.47058823529412,-285.0,1000,15
20,44.11764705882353,-285.0,1000,15
21,61.76470588235294,-285.0,1000,15
23,97.05882352941177,-285.0,1000,15
31,238.23529411764707,-285.0,1000,15
32,255.8823529411765,-285.0,1000,15
34,291.1764705882353,-285.0,1000,15
41,-185.29411764705884,-255.0,1000,15
44,-132.3529411764706,-255.0,1000,15
56,79.41176470588236,-255.0,1000,15
61,167.64705882352942,-255.0,1000,15
62,185.29411764705884,-255.0,1000,15
63,202.94117647058826,-255.0,1000,15
67,273.5294117647059,-255.0,1000,15
68,291.1764705882353,-255.0,1000,15
76,-167.64705882352942,-225.0,1000,15
78,-132.3529411764706,-225.0,1000,15
81,-79.41176470588236,-225.0,1000,15
84,-26.47058823529412,-225.0,1000,15
89,61.76470588235294,-225.0,1000,15
90,79.41176470588236,-225.0,1000,15
113,-114.70588235294119,-195.0,1000,15
115,-79.41176470588236,-195.0,1000,15
116,-61.76470588235294,-195.0,1000,15
117,-44.11764705882353,-195.0,1000,15
137,-291.1764705882353,-165.0,1000,15
138,-273.5294117647059,-165.0,1000,15
144,-167.64705882352942,-165.0,1000,15
152,-26.47058823529412,-165.0,1000,15
155,26.47058823529412,-165.0,1000,15
163,167.64705882352942,-165.0,1000,15
167,238.23529411764707,-165.0,1000,15
175,-220.58823529411765,-135.0,1000,15
191,61.76470588235294,-135.0,1000,15
197,167.64705882352942,-135.0,1000,15
198,185.29411764705884,-135.0,1000,15
203,273.5294117647059,-135.0,1000,15
207,-255.8823529411765,-105.0,1000,15
211,-185.29411764705884,-105.0,1000,15
212,-167.64705882352942,-105.0,1000,15
218,-61.76470588235294,-105.0,1000,15
223,26.47058823529412,-105.0,1000,15
232,185.29411764705884,-105.0,1000,15
233,202.94117647058826,-105.0,1000,15
240,-273.5294117647059,-75.0,1000,15
243,-220.58823529411765,-75.0,1000,15
255,-8.823529411764707,-75.0,1000,15
263,132.3529411764706,-75.0,1000,15
265,167.64705882352942,-75.0,1000,15
273,-291.1764705882353,-45.0,1000,15
274,-273.5294117647059,-45.0,1000,15
275,-255.8823529411765,-45.0,1000,15
276,-238.23529411764707,-45.0,1000,15
278,-202.94117647058826,-45.0,1000,15
281,-150.0,-45.0,1000,15
282,-132.3529411764706,-45.0,1000,15
287,-44.11764705882353,-45.0,1000,15
290,8.823529411764707,-45.0,1000,15
291,26.47058823529412,-45.0,1000,15
296,114.70588235294119,-45.0,1000,15
297,132.3529411764706,-45.0,1000,15
300,185.29411764705884,-45.0,1000,15
302,220.58823529411765,-45.0,1000,15
306,291.1764705882353,-45.0,1000,15
308,-273.5294117647059,-15.0,1000,15
309,-255.8823529411765,-15.0,1000,15
311,-220.58823529411765,-15.0,1000,15
317,-114.70588235294119,-15.0,1000,15
321,-44.11764705882353,-15.0,1000,15
329,97.05882352941177,-15.0,1000,15
338,255.8823529411765,-15.0,1000,15
344,-238.23529411764707,15.0,1000,15
348,-167.64705882352942,15.0,1000,15
355,-44.11764705882353,15.0,1000,15
356,-26.47058823529412,15.0,1000,15
365,132.3529411764706,15.0,1000,15
367,167.64705882352942,15.0,1000,15
371,238.23529411764707,15.0,1000,15
374,291.1764705882353,15.0,1000,15
378,-238.23529411764707,45.0,1000,15
386,-97.05882352941177,45.0,1000,15
388,-61.76470588235294,45.0,1000,15
397,97.05882352941177,45.0,1000,15
402,185.29411764705884,45.0,1000,15
403,202.94117647058826,45.0,1000,15
405,238.23529411764707,45.0,1000,15
407,273.5294117647059,45.0,1000,15
409,-291.1764705882353,75.0,1000,15
411,-255.8823529411765,75.0,1000,15
414,-202.94117647058826,75.0,1000,15
420,-97.05882352941177,75.0,1000,15
422,-61.76470588235294,75.0,1000,15
427,26.47058823529412,75.0,1000,15
431,97.05882352941177,75.0,1000,15
433,132.3529411764706,75.0,1000,15
435,167.64705882352942,75.0,1000,15
436,185.29411764705884,75.0,1000,15
443,-291.1764705882353,105.0,1000,15
451,-150.0,105.0,1000,15
460,8.823529411764707,105.0,1000,15
463,61.76470588235294,105.0,1000,15
470,185.29411764705884,105.0,1000,15
476,291.1764705882353,105.0,1000,15
484,-167.64705882352942,135.0,1000,15
487,-114.70588235294119,135.0,1000,15
489,-79.41176470588236,135.0,1000,15
492,-26.47058823529412,135.0,1000,15
495,26.47058823529412,135.0,1000,15
497,61.76470588235294,135.0,1000,15
500,114.70588235294119,135.0,1000,15
506,220.58823529411765,135.0,1000,15
512,-273.5294117647059,165.0,1000,15
519,-150.0,165.0,1000,15
520,-132.3529411764706,165.0,1000,15
527,-8.823529411764707,165.0,1000,15
528,8.823529411764707,165.0,1000,15
536,150.0,165.0,1000,15
540,220.58823529411765,165.0,1000,15
543,273.5294117647059,165.0,1000,15
549,-220.58823529411765,195.0,1000,15
551,-185.29411764705884,195.0,1000,15
563,26.47058823529412,195.0,1000,15
566,79.41176470588236,195.0,1000,15
568,114.70588235294119,195.0,1000,15
570,150.0,195.0,1000,15
583,-220.58823529411765,225.0,1000,15
585,-185.29411764705884,225.0,1000,15
596,8.823529411764707,225.0,1000,15
625,-79.41176470588236,255.0,1000,15
631,26.47058823529412,255.0,1000,15
637,132.3529411764706,255.0,1000,15
639,167.64705882352942,255.0,1000,15
648,-273.5294117647059,285.0,1000,15
662,-26.47058823529412,285.0,1000,15
663,-8.823529411764707,285.0,1000,15
