probe_number,X,Y,Z,checkerboard_number
1,-291.1764705882353,-285.0,1000,0
8,-167.64705882352942,-285.0,1000,0
9,-150.0,-285.0,1000,0
12,-97.05882352941177,-285.0,1000,0
19,26.47058823529412,-285.0,1000,0
20,44.11764705882353,-285.0,1000,0
31,238.23529411764707,-285.0,1000,0
33,273.5294117647059,-285.0,1000,0
34,291.1764705882353,-285.0,1000,0
41,-185.29411764705884,-255.0,1000,0
55,61.76470588235294,-255.0,1000,0
60,150.0,-255.0,1000,0
61,167.64705882352942,-255.0,1000,0
63,202.94117647058826,-255.0,1000,0
71,-255.8823529411765,-225.0,1000,0
72,-238.23529411764707,-225.0,1000,0
74,-202.94117647058826,-225.0,1000,0
75,-185.29411764705884,-225.0,1000,0
76,-167.64705882352942,-225.0,1000,0
78,-132.3529411764706,-225.0,1000,0
83,-44.11764705882353,-225.0,1000,0
85,-8.823529411764707,-225.0,1000,0
90,79.41176470588236,-225.0,1000,0
94,150.0,-225.0,1000,0
99,238.23529411764707,-225.0,1000,0
102,291.1764705882353,-225.0,1000,0
105,-255.8823529411765,-195.0,1000,0
114,-97.05882352941177,-195.0,1000,0
118,-26.47058823529412,-195.0,1000,0
121,26.47058823529412,-195.0,1000,0
141,-220.58823529411765,-165.0,1000,0
146,-132.3529411764706,-165.0,1000,0
154,8.823529411764707,-165.0,1000,0
155,26.47058823529412,-165.0,1000,0
159,97.05882352941177,-165.0,1000,0
163,167.64705882352942,-165.0,1000,0
176,-202.94117647058826,-135.0,1000,0
177,-185.29411764705884,-135.0,1000,0
178,-167.64705882352942,-135.0,1000,0
183,-79.41176470588236,-135.0,1000,0
187,-8.823529411764707,-135.0,1000,0
194,114.70588235294119,-135.0,1000,0
204,291.1764705882353,-135.0,1000,0
212,-167.64705882352942,-105.0,1000,0
219,-44.11764705882353,-105.0,1000,0
222,8.823529411764707,-105.0,1000,0
232,185.29411764705884,-105.0,1000,0
238,291.1764705882353,-105.0,1000,0
239,-291.1764705882353,-75.0,1000,0
243,-220.58823529411765,-75.0,1000,0
244,-202.94117647058826,-75.0,1000,0
249,-114.70588235294119,-75.0,1000,0
256,8.823529411764707,-75.0,1000,0
259,61.76470588235294,-75.0,1000,0
260,79.41176470588236,-75.0,1000,0
262,114.70588235294119,-75.0,1000,0
266,185.29411764705884,-75.0,1000,0
268,220.58823529411765,-75.0,1000,0
271,273.5294117647059,-75.0,1000,0
277,-220.58823529411765,-45.0,1000,0
278,-202.94117647058826,-45.0,1000,0
279,-185.29411764705884,-45.0,1000,0
284,-97.05882352941177,-45.0,1000,0
290,8.823529411764707,-45.0,1000,0
296,114.70588235294119,-45.0,1000,0
315,-150.0,-15.0,1000,0
324,8.823529411764707,-15.0,1000,0
328,79.41176470588236,-15.0,1000,0
333,167.64705882352942,-15.0,1000,0
338,255.8823529411765,-15.0,1000,0
340,291.1764705882353,-15.0,1000,0
342,-273.5294117647059,15.0,1000,0
343,-255.8823529411765,15.0,1000,0
345,-220.58823529411765,15.0,1000,0
346,-202.94117647058826,15.0,1000,0
347,-185.29411764705884,15.0,1000,0
351,-114.70588235294119,15.0,1000,0
354,-61.76470588235294,15.0,1000,0
356,-26.47058823529412,15.0,1000,0
360,44.11764705882353,15.0,1000,0
364,114.70588235294119,15.0,1000,0
366,150.0,15.0,1000,0
379,-220.58823529411765,45.0,1000,0
380,-202.94117647058826,45.0,1000,0
393,26.47058823529412,45.0,1000,0
394,44.11764705882353,45.0,1000,0
399,132.3529411764706,45.0,1000,0
405,238.23529411764707,45.0,1000,0
406,255.8823529411765,45.0,1000,0
407,273.5294117647059,45.0,1000,0
408,291.1764705882353,45.0,1000,0
410,-273.5294117647059,75.0,1000,0
415,-185.29411764705884,75.0,1000,0
425,-8.823529411764707,75.0,1000,0
433,132.3529411764706,75.0,1000,0
443,-291.1764705882353,105.0,1000,0
444,-273.5294117647059,105.0,1000,0
445,-255.8823529411765,105.0,1000,0
451,-150.0,105.0,1000,0
454,-97.05882352941177,105.0,1000,0
457,-44.11764705882353,105.0,1000,0
468,150.0,105.0,1000,0
470,185.29411764705884,105.0,1000,0
471,202.94117647058826,105.0,1000,0
485,-150.0,135.0,1000,0
487,-114.70588235294119,135.0,1000,0
509,273.5294117647059,135.0,1000,0
511,-291.1764705882353,165.0,1000,0
512,-273.5294117647059,165.0,1000,0
516,-202.94117647058826,165.0,1000,0
519,-150.0,165.0,1000,0
527,-8.823529411764707,165.0,1000,0
530,44.11764705882353,165.0,1000,0
538,185.29411764705884,165.0,1000,0
547,-255.8823529411765,195.0,1000,0
548,-238.23529411764707,195.0,1000,0
559,-44.11764705882353,195.0,1000,0
560,-26.47058823529412,195.0,1000,0
561,-8.823529411764707,195.0,1000,0
589,-114.70588235294119,225.0,1000,0
591,-79.41176470588236,225.0,1000,0
592,-61.76470588235294,225.0,1000,0
597,26.47058823529412,225.0,1000,0
609,238.23529411764707,225.0,1000,0
612,291.1764705882353,225.0,1000,0
616,-238.23529411764707,255.0,1000,0
627,-44.11764705882353,255.0,1000,0
638,150.0,255.0,1000,0
649,-255.8823529411765,285.0,1000,0
654,-167.64705882352942,285.0,1000,0
656,-132.3529411764706,285.0,1000,0
657,-114.70588235294119,285.0,1000,0
664,8.823529411764707,285.0,1000,0
669,97.05882352941177,285.0,1000,0
671,132.3529411764706,285.0,1000,0
