probe_number,checkerboard_number,timestamps
1,0,100.0
1,0,110.0
1,0,120.0
1,0,130.0
1,0,140.0
1,0,150.0
1,0,160.0
1,0,170.0
1,0,180.0
1,0,190.0
1,0,200.0
1,0,210.0
1,0,220.0
1,0,230.0
1,0,240.0
1,0,250.0
1,0,260.0
1,0,270.0
1,0,280.0
1,0,290.0
8,0,100.0
8,0,110.0
8,0,120.0
8,0,130.0
8,0,140.0
8,0,150.0
8,0,160.0
8,0,170.0
8,0,180.0
8,0,190.0
8,0,200.0
8,0,210.0
8,0,220.0
8,0,230.0
8,0,240.0
8,0,250.0
8,0,260.0
8,0,270.0
8,0,280.0
8,0,290.0
9,0,100.0
9,0,110.0
9,0,120.0
9,0,130.0
9,0,140.0
9,0,150.0
9,0,160.0
9,0,170.0
9,0,180.0
9,0,190.0
9,0,200.0
9,0,210.0
9,0,220.0
9,0,230.0
9,0,240.0
9,0,250.0
9,0,260.0
9,0,270.0
9,0,280.0
9,0,290.0
12,0,100.0
12,0,110.0
12,0,120.0
12,0,130.0
12,0,140.0
12,0,150.0
12,0,160.0
12,0,170.0
12,0,180.0
12,0,190.0
12,0,200.0
12,0,210.0
12,0,220.0
12,0,230.0
12,0,240.0
12,0,250.0
12,0,260.0
12,0,270.0
12,0,280.0
12,0,290.0
19,0,100.0
19,0,110.0
19,0,120.0
19,0,130.0
19,0,140.0
19,0,150.0
19,0,160.0
19,0,170.0
19,0,180.0
19,0,190.0
19,0,200.0
19,0,210.0
19,0,220.0
19,0,230.0
19,0,240.0
19,0,250.0
19,0,260.0
19,0,270.0
19,0,280.0
19,0,290.0
20,0,100.0
20,0,110.0
20,0,120.0
20,0,130.0
20,0,140.0
20,0,150.0
20,0,160.0
20,0,170.0
20,0,180.0
20,0,190.0
20,0,200.0
20,0,210.0
20,0,220.0
20,0,230.0
20,0,240.0
20,0,250.0
20,0,260.0
20,0,270.0
20,0,280.0
20,0,290.0
31,0,100.0
31,0,110.0
31,0,120.0
31,0,130.0
31,0,140.0
31,0,150.0
31,0,160.0
31,0,170.0
31,0,180.0
31,0,190.0
31,0,200.0
31,0,210.0
31,0,220.0
31,0,230.0
31,0,240.0
31,0,250.0
31,0,260.0
31,0,270.0
31,0,280.0
31,0,290.0
33,0,100.0
33,0,110.0
33,0,120.0
33,0,130.0
33,0,140.0
33,0,150.0
33,0,160.0
33,0,170.0
33,0,180.0
