,probe_number,X,Y,Z
0,4,26.25,3.75,0
1,5,33.75,3.75,0
2,9,63.75,3.75,0
3,11,78.75,3.75,0
4,16,116.25,3.75,0
5,17,123.75,3.75,0
6,20,146.25,3.75,0
7,24,176.25,3.75,0
8,32,236.25,3.75,0
9,44,71.25,11.25,0
10,66,236.25,11.25,0
11,80,86.25,18.75,0
12,87,138.75,18.75,0
13,90,161.25,18.75,0
14,91,168.75,18.75,0
15,98,221.25,18.75,0
16,99,228.75,18.75,0
17,105,18.75,26.25,0
18,111,63.75,26.25,0
19,114,86.25,26.25,0
20,117,108.75,26.25,0
21,119,123.75,26.25,0
22,124,161.25,26.25,0
23,130,206.25,26.25,0
24,151,108.75,33.75,0
25,153,123.75,33.75,0
26,158,161.25,33.75,0
27,165,213.75,33.75,0
28,171,3.75,41.25,0
29,180,71.25,41.25,0
30,183,93.75,41.25,0
31,185,108.75,41.25,0
32,187,123.75,41.25,0
33,188,131.25,41.25,0
34,195,183.75,41.25,0
35,196,191.25,41.25,0
36,201,228.75,41.25,0
37,202,236.25,41.25,0
38,205,3.75,48.75,0
39,206,11.25,48.75,0
40,214,71.25,48.75,0
41,221,123.75,48.75,0
42,229,183.75,48.75,0
43,230,191.25,48.75,0
44,234,221.25,48.75,0
45,235,228.75,48.75,0
46,237,243.75,48.75,0
47,241,18.75,56.25,0
48,246,56.25,56.25,0
49,252,101.25,56.25,0
50,256,131.25,56.25,0
51,259,153.75,56.25,0
52,261,168.75,56.25,0
53,269,228.75,56.25,0
54,270,236.25,56.25,0
55,272,251.25,56.25,0
56,281,63.75,63.75,0
57,283,78.75,63.75,0
58,285,93.75,63.75,0
59,305,243.75,63.75,0
60,309,18.75,71.25,0
61,314,56.25,71.25,0
62,315,63.75,71.25,0
63,317,78.75,71.25,0
64,320,101.25,71.25,0
65,325,138.75,71.25,0
66,329,168.75,71.25,0
67,332,191.25,71.25,0
68,334,206.25,71.25,0
69,335,213.75,71.25,0
70,344,26.25,78.75,0
71,348,56.25,78.75,0
72,351,78.75,78.75,0
73,355,108.75,78.75,0
74,357,123.75,78.75,0
75,358,131.25,78.75,0
76,368,206.25,78.75,0
77,380,41.25,86.25,0
78,381,48.75,86.25,0
79,384,71.25,86.25,0
80,385,78.75,86.25,0
81,391,123.75,86.25,0
82,395,153.75,86.25,0
83,402,206.25,86.25,0
84,410,11.25,93.75,0
85,414,41.25,93.75,0
86,415,48.75,93.75,0
87,416,56.25,93.75,0
88,418,71.25,93.75,0
89,422,101.25,93.75,0
90,423,108.75,93.75,0
91,427,138.75,93.75,0
92,432,176.25,93.75,0
93,433,183.75,93.75,0
94,435,198.75,93.75,0
95,441,243.75,93.75,0
96,444,11.25,101.25,0
97,450,56.25,101.25,0
98,453,78.75,101.25,0
99,471,213.75,101.25,0
100,474,236.25,101.25,0
101,479,18.75,108.75,0
102,485,63.75,108.75,0
103,486,71.25,108.75,0
104,487,78.75,108.75,0
105,492,116.25,108.75,0
106,499,168.75,108.75,0
107,502,191.25,108.75,0
108,506,221.25,108.75,0
109,513,18.75,116.25,0
110,514,26.25,116.25,0
111,515,33.75,116.25,0
112,517,48.75,116.25,0
113,519,63.75,116.25,0
114,523,93.75,116.25,0
115,528,131.25,116.25,0
116,536,191.25,116.25,0
117,538,206.25,116.25,0
118,546,11.25,123.75,0
119,551,48.75,123.75,0
120,553,63.75,123.75,0
121,567,168.75,123.75,0
122,587,63.75,131.25,0
123,589,78.75,131.25,0
124,592,101.25,131.25,0
125,598,146.25,131.25,0
126,599,153.75,131.25,0
127,600,161.25,131.25,0
128,602,176.25,131.25,0
129,608,221.25,131.25,0
130,611,243.75,131.25,0
131,617,33.75,138.75,0
132,624,86.25,138.75,0
133,629,123.75,138.75,0
134,630,131.25,138.75,0
135,632,146.25,138.75,0
136,633,153.75,138.75,0
137,638,191.25,138.75,0
138,643,228.75,138.75,0
139,644,236.25,138.75,0
140,645,243.75,138.75,0
141,649,18.75,146.25,0
142,665,138.75,146.25,0
143,668,161.25,146.25,0
144,669,168.75,146.25,0
145,671,183.75,146.25,0
146,673,198.75,146.25,0
147,675,213.75,146.25,0
148,676,221.25,146.25,0
