,probe_number,X,Y,Z
0,4,-238.23529411764707,-285.0,1000
1,5,-220.58823529411765,-285.0,1000
2,9,-150.0,-285.0,1000
3,11,-114.7058823529412,-285.0,1000
4,16,-26.47058823529412,-285.0,1000
5,17,-8.823529411764707,-285.0,1000
6,20,44.11764705882353,-285.0,1000
7,24,114.7058823529412,-285.0,1000
8,32,255.8823529411765,-285.0,1000
9,44,-132.3529411764706,-255.0,1000
10,66,255.8823529411765,-255.0,1000
11,80,-97.05882352941175,-225.0,1000
12,87,26.47058823529412,-225.0,1000
13,90,79.41176470588236,-225.0,1000
14,91,97.05882352941175,-225.0,1000
15,98,220.58823529411765,-225.0,1000
16,99,238.23529411764707,-225.0,1000
17,105,-255.8823529411765,-195.0,1000
18,111,-150.0,-195.0,1000
19,114,-97.05882352941175,-195.0,1000
20,117,-44.11764705882353,-195.0,1000
21,119,-8.823529411764707,-195.0,1000
22,124,79.41176470588236,-195.0,1000
23,130,185.29411764705884,-195.0,1000
24,151,-44.11764705882353,-165.0,1000
25,153,-8.823529411764707,-165.0,1000
26,158,79.41176470588236,-165.0,1000
27,165,202.94117647058823,-165.0,1000
28,171,-291.1764705882353,-135.0,1000
29,180,-132.3529411764706,-135.0,1000
30,183,-79.41176470588236,-135.0,1000
31,185,-44.11764705882353,-135.0,1000
32,187,-8.823529411764707,-135.0,1000
33,188,8.823529411764707,-135.0,1000
34,195,132.3529411764706,-135.0,1000
35,196,150.0,-135.0,1000
36,201,238.23529411764707,-135.0,1000
37,202,255.8823529411765,-135.0,1000
38,205,-291.1764705882353,-105.0,1000
39,206,-273.5294117647059,-105.0,1000
40,214,-132.3529411764706,-105.0,1000
41,221,-8.823529411764707,-105.0,1000
42,229,132.3529411764706,-105.0,1000
43,230,150.0,-105.0,1000
44,234,220.58823529411765,-105.0,1000
45,235,238.23529411764707,-105.0,1000
46,237,273.5294117647059,-105.0,1000
47,241,-255.8823529411765,-75.0,1000
48,246,-167.64705882352942,-75.0,1000
49,252,-61.76470588235294,-75.0,1000
50,256,8.823529411764707,-75.0,1000
51,259,61.76470588235294,-75.0,1000
52,261,97.05882352941175,-75.0,1000
53,269,238.23529411764707,-75.0,1000
54,270,255.8823529411765,-75.0,1000
55,272,291.1764705882353,-75.0,1000
56,281,-150.0,-45.0,1000
57,283,-114.7058823529412,-45.0,1000
58,285,-79.41176470588236,-45.0,1000
59,305,273.5294117647059,-45.0,1000
60,309,-255.8823529411765,-15.0,1000
61,314,-167.64705882352942,-15.0,1000
62,315,-150.0,-15.0,1000
63,317,-114.7058823529412,-15.0,1000
64,320,-61.76470588235294,-15.0,1000
65,325,26.47058823529412,-15.0,1000
66,329,97.05882352941175,-15.0,1000
67,332,150.0,-15.0,1000
68,334,185.29411764705884,-15.0,1000
69,335,202.94117647058823,-15.0,1000
70,344,-238.23529411764707,15.0,1000
71,348,-167.64705882352942,15.0,1000
72,351,-114.7058823529412,15.0,1000
73,355,-44.11764705882353,15.0,1000
74,357,-8.823529411764707,15.0,1000
75,358,8.823529411764707,15.0,1000
76,368,185.29411764705884,15.0,1000
77,380,-202.94117647058823,45.0,1000
78,381,-185.29411764705884,45.0,1000
79,384,-132.3529411764706,45.0,1000
80,385,-114.7058823529412,45.0,1000
81,391,-8.823529411764707,45.0,1000
82,395,61.76470588235294,45.0,1000
83,402,185.29411764705884,45.0,1000
84,410,-273.5294117647059,75.0,1000
85,414,-202.94117647058823,75.0,1000
86,415,-185.29411764705884,75.0,1000
87,416,-167.64705882352942,75.0,1000
88,418,-132.3529411764706,75.0,1000
89,422,-61.76470588235294,75.0,1000
90,423,-44.11764705882353,75.0,1000
91,427,26.47058823529412,75.0,1000
92,432,114.7058823529412,75.0,1000
93,433,132.3529411764706,75.0,1000
94,435,167.64705882352942,75.0,1000
95,441,273.5294117647059,75.0,1000
96,444,-273.5294117647059,105.0,1000
97,450,-167.64705882352942,105.0,1000
98,453,-114.7058823529412,105.0,1000
99,471,202.94117647058823,105.0,1000
100,474,255.8823529411765,105.0,1000
101,479,-255.8823529411765,135.0,1000
102,485,-150.0,135.0,1000
103,486,-132.3529411764706,135.0,1000
104,487,-114.7058823529412,135.0,1000
105,492,-26.47058823529412,135.0,1000
106,499,97.05882352941175,135.0,1000
107,502,150.0,135.0,1000
108,506,220.58823529411765,135.0,1000
109,513,-255.8823529411765,165.0,1000
110,514,-238.23529411764707,165.0,1000
111,515,-220.58823529411765,165.0,1000
112,517,-185.29411764705884,165.0,1000
113,519,-150.0,165.0,1000
114,523,-79.41176470588236,165.0,1000
115,528,8.823529411764707,165.0,1000
116,536,150.0,165.0,1000
117,538,185.29411764705884,165.0,1000
118,546,-273.5294117647059,195.0,1000
119,551,-185.29411764705884,195.0,1000
120,553,-150.0,195.0,1000
121,567,97.05882352941175,195.0,1000
122,587,-150.0,225.0,1000
123,589,-114.7058823529412,225.0,1000
124,592,-61.76470588235294,225.0,1000
125,598,44.11764705882353,225.0,1000
126,599,61.76470588235294,225.0,1000
127,600,79.41176470588236,225.0,1000
128,602,114.7058823529412,225.0,1000
129,608,220.58823529411765,225.0,1000
130,611,273.5294117647059,225.0,1000
131,617,-220.58823529411765,255.0,1000
132,624,-97.05882352941175,255.0,1000
133,629,-8.823529411764707,255.0,1000
134,630,8.823529411764707,255.0,1000
135,632,44.11764705882353,255.0,1000
136,633,61.76470588235294,255.0,1000
137,638,150.0,255.0,1000
138,643,238.23529411764707,255.0,1000
139,644,255.8823529411765,255.0,1000
140,645,273.5294117647059,255.0,1000
141,649,-255.8823529411765,285.0,1000
142,665,26.47058823529412,285.0,1000
143,668,79.41176470588236,285.0,1000
144,669,97.05882352941175,285.0,1000
145,671,132.3529411764706,285.0,1000
146,673,167.64705882352942,285.0,1000
147,675,202.94117647058823,285.0,1000
148,676,220.58823529411765,285.0,1000
149,9,-150.0,-285.0,1000
150,17,-8.823529411764707,-285.0,1000
151,23,97.05882352941175,-285.0,1000
152,24,114.7058823529412,-285.0,1000
153,34,291.1764705882353,-285.0,1000
154,47,-79.41176470588236,-255.0,1000
155,49,-44.11764705882353,-255.0,1000
156,63,202.94117647058823,-255.0,1000
157,64,220.58823529411765,-255.0,1000
158,68,291.1764705882353,-255.0,1000
159,70,-273.5294117647059,-225.0,1000
160,77,-150.0,-225.0,1000
161,79,-114.7058823529412,-225.0,1000
162,81,-79.41176470588236,-225.0,1000
163,82,-61.76470588235294,-225.0,1000
164,87,26.47058823529412,-225.0,1000
165,89,61.76470588235294,-225.0,1000
166,90,79.41176470588236,-225.0,1000
167,93,132.3529411764706,-225.0,1000
168,103,-291.1764705882353,-195.0,1000
169,105,-255.8823529411765,-195.0,1000
170,113,-114.7058823529412,-195.0,1000
171,114,-97.05882352941175,-195.0,1000
172,116,-61.76470588235294,-195.0,1000
173,122,44.11764705882353,-195.0,1000
174,124,79.41176470588236,-195.0,1000
175,129,167.64705882352942,-195.0,1000
176,144,-167.64705882352942,-165.0,1000
177,146,-132.3529411764706,-165.0,1000
178,156,44.11764705882353,-165.0,1000
179,157,61.76470588235294,-165.0,1000
180,161,132.3529411764706,-165.0,1000
181,162,150.0,-165.0,1000
182,174,-238.23529411764707,-135.0,1000
183,176,-202.94117647058823,-135.0,1000
184,177,-185.29411764705884,-135.0,1000
185,180,-132.3529411764706,-135.0,1000
186,184,-61.76470588235294,-135.0,1000
187,187,-8.823529411764707,-135.0,1000
188,195,132.3529411764706,-135.0,1000
189,196,150.0,-135.0,1000
190,206,-273.5294117647059,-105.0,1000
191,207,-255.8823529411765,-105.0,1000
192,210,-202.94117647058823,-105.0,1000
193,221,-8.823529411764707,-105.0,1000
194,224,44.11764705882353,-105.0,1000
195,225,61.76470588235294,-105.0,1000
196,228,114.7058823529412,-105.0,1000
197,229,132.3529411764706,-105.0,1000
198,230,150.0,-105.0,1000
199,237,273.5294117647059,-105.0,1000
200,239,-291.1764705882353,-75.0,1000
201,240,-273.5294117647059,-75.0,1000
202,251,-79.41176470588236,-75.0,1000
203,256,8.823529411764707,-75.0,1000
204,269,238.23529411764707,-75.0,1000
205,275,-255.8823529411765,-45.0,1000
206,278,-202.94117647058823,-45.0,1000
207,281,-150.0,-45.0,1000
208,285,-79.41176470588236,-45.0,1000
209,294,79.41176470588236,-45.0,1000
210,300,185.29411764705884,-45.0,1000
