probe_number,X,Y,Z
4,-238.23529411764707,-285.0,1000
5,-220.58823529411765,-285.0,1000
9,-150.0,-285.0,1000
11,-114.70588235294119,-285.0,1000
16,-26.47058823529412,-285.0,1000
17,-8.823529411764707,-285.0,1000
20,44.11764705882353,-285.0,1000
24,114.70588235294119,-285.0,1000
32,255.8823529411765,-285.0,1000
44,-132.3529411764706,-255.0,1000
66,255.8823529411765,-255.0,1000
80,-97.05882352941177,-225.0,1000
87,26.47058823529412,-225.0,1000
90,79.41176470588236,-225.0,1000
91,97.05882352941177,-225.0,1000
98,220.58823529411765,-225.0,1000
99,238.23529411764707,-225.0,1000
105,-255.8823529411765,-195.0,1000
111,-150.0,-195.0,1000
114,-97.05882352941177,-195.0,1000
117,-44.11764705882353,-195.0,1000
119,-8.823529411764707,-195.0,1000
124,79.41176470588236,-195.0,1000
130,185.29411764705884,-195.0,1000
151,-44.11764705882353,-165.0,1000
153,-8.823529411764707,-165.0,1000
158,79.41176470588236,-165.0,1000
165,202.94117647058826,-165.0,1000
171,-291.1764705882353,-135.0,1000
180,-132.3529411764706,-135.0,1000
183,-79.41176470588236,-135.0,1000
185,-44.11764705882353,-135.0,1000
187,-8.823529411764707,-135.0,1000
188,8.823529411764707,-135.0,1000
195,132.3529411764706,-135.0,1000
196,150.0,-135.0,1000
201,238.23529411764707,-135.0,1000
202,255.8823529411765,-135.0,1000
205,-291.1764705882353,-105.0,1000
206,-273.5294117647059,-105.0,1000
214,-132.3529411764706,-105.0,1000
221,-8.823529411764707,-105.0,1000
229,132.3529411764706,-105.0,1000
230,150.0,-105.0,1000
234,220.58823529411765,-105.0,1000
235,238.23529411764707,-105.0,1000
237,273.5294117647059,-105.0,1000
241,-255.8823529411765,-75.0,1000
246,-167.64705882352942,-75.0,1000
252,-61.76470588235294,-75.0,1000
256,8.823529411764707,-75.0,1000
259,61.76470588235294,-75.0,1000
261,97.05882352941177,-75.0,1000
269,238.23529411764707,-75.0,1000
270,255.8823529411765,-75.0,1000
272,291.1764705882353,-75.0,1000
281,-150.0,-45.0,1000
283,-114.70588235294119,-45.0,1000
285,-79.41176470588236,-45.0,1000
305,273.5294117647059,-45.0,1000
309,-255.8823529411765,-15.0,1000
314,-167.64705882352942,-15.0,1000
315,-150.0,-15.0,1000
317,-114.70588235294119,-15.0,1000
320,-61.76470588235294,-15.0,1000
325,26.47058823529412,-15.0,1000
329,97.05882352941177,-15.0,1000
332,150.0,-15.0,1000
334,185.29411764705884,-15.0,1000
335,202.94117647058826,-15.0,1000
344,-238.23529411764707,15.0,1000
348,-167.64705882352942,15.0,1000
351,-114.70588235294119,15.0,1000
355,-44.11764705882353,15.0,1000
357,-8.823529411764707,15.0,1000
358,8.823529411764707,15.0,1000
368,185.29411764705884,15.0,1000
380,-202.94117647058826,45.0,1000
381,-185.29411764705884,45.0,1000
384,-132.3529411764706,45.0,1000
385,-114.70588235294119,45.0,1000
391,-8.823529411764707,45.0,1000
395,61.76470588235294,45.0,1000
402,185.29411764705884,45.0,1000
410,-273.5294117647059,75.0,1000
414,-202.94117647058826,75.0,1000
415,-185.29411764705884,75.0,1000
416,-167.64705882352942,75.0,1000
418,-132.3529411764706,75.0,1000
422,-61.76470588235294,75.0,1000
423,-44.11764705882353,75.0,1000
427,26.47058823529412,75.0,1000
432,114.70588235294119,75.0,1000
433,132.3529411764706,75.0,1000
435,167.64705882352942,75.0,1000
441,273.5294117647059,75.0,1000
444,-273.5294117647059,105.0,1000
450,-167.64705882352942,105.0,1000
453,-114.70588235294119,105.0,1000
471,202.94117647058826,105.0,1000
474,255.8823529411765,105.0,1000
479,-255.8823529411765,135.0,1000
485,-150.0,135.0,1000
486,-132.3529411764706,135.0,1000
487,-114.70588235294119,135.0,1000
492,-26.47058823529412,135.0,1000
499,97.05882352941177,135.0,1000
502,150.0,135.0,1000
506,220.58823529411765,135.0,1000
513,-255.8823529411765,165.0,1000
514,-238.23529411764707,165.0,1000
515,-220.58823529411765,165.0,1000
517,-185.29411764705884,165.0,1000
519,-150.0,165.0,1000
523,-79.41176470588236,165.0,1000
528,8.823529411764707,165.0,1000
536,150.0,165.0,1000
538,185.29411764705884,165.0,1000
546,-273.5294117647059,195.0,1000
551,-185.29411764705884,195.0,1000
553,-150.0,195.0,1000
567,97.05882352941177,195.0,1000
587,-150.0,225.0,1000
589,-114.70588235294119,225.0,1000
592,-61.76470588235294,225.0,1000
598,44.11764705882353,225.0,1000
599,61.76470588235294,225.0,1000
600,79.41176470588236,225.0,1000
602,114.70588235294119,225.0,1000
608,220.58823529411765,225.0,1000
611,273.5294117647059,225.0,1000
617,-220.58823529411765,255.0,1000
624,-97.05882352941177,255.0,1000
629,-8.823529411764707,255.0,1000
630,8.823529411764707,255.0,1000
632,44.11764705882353,255.0,1000
633,61.76470588235294,255.0,1000
638,150.0,255.0,1000
643,238.23529411764707,255.0,1000
644,255.8823529411765,255.0,1000
645,273.5294117647059,255.0,1000
649,-255.8823529411765,285.0,1000
665,26.47058823529412,285.0,1000
668,79.41176470588236,285.0,1000
669,97.05882352941177,285.0,1000
671,132.3529411764706,285.0,1000
673,167.64705882352942,285.0,1000
675,202.94117647058826,285.0,1000
676,220.58823529411765,285.0,1000
