probe_number,X,Y,Z,checkerboard_number
3,-255.8823529411765,-285.0,1000,15
4,-238.23529411764707,-285.0,1000,15
6,-202.94117647058826,-285.0,1000,15
13,-79.41176470588236,-285.0,1000,15
15,-44.11764705882353,-285.0,1000,15
17,-8.823529411764707,-285.0,1000,15
23,97.05882352941177,-285.0,1000,15
36,-273.5294117647059,-255.0,1000,15
38,-238.23529411764707,-255.0,1000,15
39,-220.58823529411765,-255.0,1000,15
61,167.64705882352942,-255.0,1000,15
67,273.5294117647059,-255.0,1000,15
74,-202.94117647058826,-225.0,1000,15
84,-26.47058823529412,-225.0,1000,15
89,61.76470588235294,-225.0,1000,15
103,-291.1764705882353,-195.0,1000,15
106,-238.23529411764707,-195.0,1000,15
116,-61.76470588235294,-195.0,1000,15
117,-44.11764705882353,-195.0,1000,15
125,97.05882352941177,-195.0,1000,15
134,255.8823529411765,-195.0,1000,15
135,273.5294117647059,-195.0,1000,15
142,-202.94117647058826,-165.0,1000,15
150,-61.76470588235294,-165.0,1000,15
153,-8.823529411764707,-165.0,1000,15
154,8.823529411764707,-165.0,1000,15
160,114.70588235294119,-165.0,1000,15
170,291.1764705882353,-165.0,1000,15
177,-185.29411764705884,-135.0,1000,15
182,-97.05882352941177,-135.0,1000,15
183,-79.41176470588236,-135.0,1000,15
185,-44.11764705882353,-135.0,1000,15
193,97.05882352941177,-135.0,1000,15
194,114.70588235294119,-135.0,1000,15
202,255.8823529411765,-135.0,1000,15
205,-291.1764705882353,-105.0,1000,15
208,-238.23529411764707,-105.0,1000,15
212,-167.64705882352942,-105.0,1000,15
220,-26.47058823529412,-105.0,1000,15
221,-8.823529411764707,-105.0,1000,15
226,79.41176470588236,-105.0,1000,15
231,167.64705882352942,-105.0,1000,15
235,238.23529411764707,-105.0,1000,15
256,8.823529411764707,-75.0,1000,15
263,132.3529411764706,-75.0,1000,15
264,150.0,-75.0,1000,15
270,255.8823529411765,-75.0,1000,15
279,-185.29411764705884,-45.0,1000,15
283,-114.70588235294119,-45.0,1000,15
287,-44.11764705882353,-45.0,1000,15
288,-26.47058823529412,-45.0,1000,15
295,97.05882352941177,-45.0,1000,15
298,150.0,-45.0,1000,15
300,185.29411764705884,-45.0,1000,15
309,-255.8823529411765,-15.0,1000,15
318,-97.05882352941177,-15.0,1000,15
323,-8.823529411764707,-15.0,1000,15
327,61.76470588235294,-15.0,1000,15
335,202.94117647058826,-15.0,1000,15
336,220.58823529411765,-15.0,1000,15
337,238.23529411764707,-15.0,1000,15
339,273.5294117647059,-15.0,1000,15
342,-273.5294117647059,15.0,1000,15
343,-255.8823529411765,15.0,1000,15
361,61.76470588235294,15.0,1000,15
362,79.41176470588236,15.0,1000,15
367,167.64705882352942,15.0,1000,15
372,255.8823529411765,15.0,1000,15
373,273.5294117647059,15.0,1000,15
383,-150.0,45.0,1000,15
392,8.823529411764707,45.0,1000,15
393,26.47058823529412,45.0,1000,15
395,61.76470588235294,45.0,1000,15
399,132.3529411764706,45.0,1000,15
415,-185.29411764705884,75.0,1000,15
416,-167.64705882352942,75.0,1000,15
419,-114.70588235294119,75.0,1000,15
420,-97.05882352941177,75.0,1000,15
429,61.76470588235294,75.0,1000,15
433,132.3529411764706,75.0,1000,15
437,202.94117647058826,75.0,1000,15
442,291.1764705882353,75.0,1000,15
445,-255.8823529411765,105.0,1000,15
449,-185.29411764705884,105.0,1000,15
452,-132.3529411764706,105.0,1000,15
458,-26.47058823529412,105.0,1000,15
463,61.76470588235294,105.0,1000,15
468,150.0,105.0,1000,15
472,220.58823529411765,105.0,1000,15
474,255.8823529411765,105.0,1000,15
475,273.5294117647059,105.0,1000,15
482,-202.94117647058826,135.0,1000,15
487,-114.70588235294119,135.0,1000,15
490,-61.76470588235294,135.0,1000,15
491,-44.11764705882353,135.0,1000,15
494,8.823529411764707,135.0,1000,15
499,97.05882352941177,135.0,1000,15
510,291.1764705882353,135.0,1000,15
518,-167.64705882352942,165.0,1000,15
519,-150.0,165.0,1000,15
522,-97.05882352941177,165.0,1000,15
526,-26.47058823529412,165.0,1000,15
533,97.05882352941177,165.0,1000,15
540,220.58823529411765,165.0,1000,15
542,255.8823529411765,165.0,1000,15
546,-273.5294117647059,195.0,1000,15
553,-150.0,195.0,1000,15
559,-44.11764705882353,195.0,1000,15
572,185.29411764705884,195.0,1000,15
574,220.58823529411765,195.0,1000,15
578,291.1764705882353,195.0,1000,15
579,-291.1764705882353,225.0,1000,15
582,-238.23529411764707,225.0,1000,15
585,-185.29411764705884,225.0,1000,15
587,-150.0,225.0,1000,15
589,-114.70588235294119,225.0,1000,15
596,8.823529411764707,225.0,1000,15
598,44.11764705882353,225.0,1000,15
606,185.29411764705884,225.0,1000,15
610,255.8823529411765,225.0,1000,15
611,273.5294117647059,225.0,1000,15
612,291.1764705882353,225.0,1000,15
617,-220.58823529411765,255.0,1000,15
626,-61.76470588235294,255.0,1000,15
631,26.47058823529412,255.0,1000,15
632,44.11764705882353,255.0,1000,15
636,114.70588235294119,255.0,1000,15
641,202.94117647058826,255.0,1000,15
642,220.58823529411765,255.0,1000,15
653,-185.29411764705884,285.0,1000,15
656,-132.3529411764706,285.0,1000,15
665,26.47058823529412,285.0,1000,15
669,97.05882352941177,285.0,1000,15
674,185.29411764705884,285.0,1000,15
